time ms,free,max,total
20,57497928,954466304,64356352
1021,76485064,954466304,81199104
2021,59700696,954466304,113770496
3021,139102808,954466304,181141504
4021,146318928,954466304,173473792
5021,129638392,954466304,167837696
6022,108965328,954466304,164298752
7022,79656232,954466304,157351936
8022,49807080,954466304,154337280
9022,112508064,954466304,145162240
10022,64496632,954466304,139264000
11022,102673144,954466304,131465216
12022,46897072,954466304,129368064
13093,58796248,954466304,122486784
14093,66030728,954466304,116326400
15093,66878752,954466304,110690304
16099,54244888,954466304,105578496
17102,84305880,954466304,98107392
18112,52654544,954466304,94240768
19112,58446944,954466304,89587712
20141,79483440,954466304,83558400
21141,54151552,954466304,79429632
22141,57735168,954466304,75169792
23141,61150624,954466304,71041024
24142,44223232,954466304,67305472
25142,47205696,954466304,63569920
26142,58320856,954466304,59965440
27142,54382896,954466304,57147392
28142,48397824,954466304,54853632
29142,51060552,954466304,56950784
30142,47546472,954466304,54722560
31142,45370128,954466304,54722560
32142,49497416,954466304,52756480
33142,46731528,954466304,51576832
34142,44975904,954466304,60096512
35142,48758336,954466304,57278464
36142,52887008,954466304,54722560
37142,46859696,954466304,52887552
38142,48092760,954466304,51576832
39142,47713504,954466304,50266112
40142,43863000,954466304,50200576
41143,46133952,954466304,50200576
42143,48404864,954466304,50200576
43143,49731632,954466304,51249152
44143,60969592,954466304,71761920
45143,52611840,954466304,68157440
46143,53064424,954466304,69271552
47143,55094160,954466304,70713344
48143,56393688,954466304,66650112
49143,55067872,954466304,63045632
50143,46799928,954466304,59965440
51143,54148864,954466304,56885248
52143,45523848,954466304,54722560
53143,47888864,954466304,52756480
54143,47984664,954466304,51576832
55143,48188144,954466304,50200576
56143,56000328,954466304,64487424
57143,45701520,954466304,61341696
58143,46241288,954466304,58458112
59144,46184504,954466304,55902208
60144,46091816,954466304,53805056
61144,50833056,954466304,52166656
62144,45334664,954466304,50855936
63144,44261048,954466304,50266112
64144,49524376,954466304,52363264
65144,46550640,954466304,51052544
66144,46788544,954466304,50200576
67144,48583208,954466304,51314688
68144,48191536,954466304,50200576
69144,48576280,954466304,50397184
70144,44592000,954466304,50266112
71144,46316648,954466304,50266112
72144,47825984,954466304,50266112
73144,49119648,954466304,50266112
74144,45565648,954466304,51052544
75144,45605104,954466304,50200576
76145,49180120,954466304,51249152
77145,44222176,954466304,51314688
78145,48084616,954466304,50200576
79145,47880648,954466304,52363264
80145,44952472,954466304,51052544
81145,46040584,954466304,50987008
82145,52815120,954466304,64487424
83145,44854744,954466304,70778880
84145,46444208,954466304,66715648
85145,44126304,954466304,62980096
86145,50920832,954466304,59637760
87145,55174872,954466304,56688640
88145,53294424,954466304,54525952
89145,51496152,954466304,52690944
90145,48241752,954466304,51380224
91145,48946672,954466304,50200576
92145,45061200,954466304,50266112
93145,45297544,954466304,52166656
94146,44134560,954466304,50724864
95146,47439904,954466304,50200576
96146,44390128,954466304,50921472
97146,43952352,954466304,50266112
98146,45566488,954466304,50266112
99146,49247056,954466304,51314688
100146,47720672,954466304,50266112
101146,43886536,954466304,50200576
102146,45394848,954466304,50200576
103146,46792472,954466304,50200576
104146,49236512,954466304,51314688
105146,47556432,954466304,51511296
106146,46020720,954466304,67371008
107146,57432776,954466304,74448896
108146,52393472,954466304,70189056
109146,51058976,954466304,66256896
110146,46699656,954466304,62783488
111147,50762976,954466304,59375616
112147,53940216,954466304,56623104
113147,50246152,954466304,54329344
114147,46410832,954466304,52559872
115147,48538440,954466304,51249152
116147,47222976,954466304,50200576
117147,47749496,954466304,50331648
118147,49054304,954466304,50200576
119147,47770568,954466304,52494336
120147,48743000,954466304,51183616
121147,50708520,954466304,53936128
122147,49762920,954466304,52297728
123147,46615608,954466304,50987008
124147,47115328,954466304,50200576
125147,49824656,954466304,51249152
126147,47978024,954466304,50200576
127147,48464432,954466304,50397184
128147,44597648,954466304,50266112
129148,49064744,954466304,51249152
130148,46321576,954466304,50266112
131148,46155672,954466304,50659328
132148,48516192,954466304,50200576
133148,44316960,954466304,50200576
134148,50108256,954466304,52166656
135148,48977424,954466304,50724864
136148,46967272,954466304,50266112
137148,48472384,954466304,50266112
138148,53460624,954466304,57212928
139148,49264936,954466304,57212928
140148,52891280,954466304,54722560
141148,46565336,954466304,52887552
142148,49624672,954466304,51576832
143148,61466160,954466304,63242240
144148,46086120,954466304,83230720
145148,51139376,954466304,78381056
146149,64418096,954466304,73465856
147149,55601936,954466304,69402624
148149,50420688,954466304,65601536
149149,59803896,954466304,61865984
150149,44624576,954466304,59047936
151149,45918632,954466304,56426496
152149,50133536,954466304,54132736
153150,50720952,954466304,52363264
154150,49265808,954466304,51052544
155150,47979912,954466304,50790400
156150,44491872,954466304,50266112
157150,44973232,954466304,64421888
158150,64365376,954466304,69926912
159150,61141768,954466304,65994752
160150,55878096,954466304,62586880
161150,44722720,954466304,59637760
162150,55697960,954466304,73138176
163152,74994384,954466304,82837504
164153,45120504,954466304,79036416
165153,60717480,954466304,73990144
166153,53782664,954466304,69861376
167153,50544600,954466304,65994752
168153,44896864,954466304,62586880
169153,47813320,954466304,59244544
170153,49913136,954466304,56557568
171153,45868040,954466304,54329344
172153,49985640,954466304,52559872
173153,44292400,954466304,51249152
174153,48258768,954466304,50266112
175153,44317080,954466304,50200576
176153,45931504,954466304,50200576
177153,47224584,954466304,50200576
178153,48839032,954466304,50200576
179153,44856704,954466304,50200576
180153,46040664,954466304,50200576
181154,48586904,954466304,51314688
182154,48085680,954466304,50200576
183154,43994248,954466304,50200576
184154,51045296,954466304,52232192
185154,46953400,954466304,50921472
186154,46535160,954466304,50266112
187154,45379248,954466304,52559872
188154,46389696,954466304,51249152
189154,48220360,954466304,54001664
190154,47068384,954466304,52297728
191154,49454856,954466304,50987008
192154,47009368,954466304,50200576
193154,45889440,954466304,50266112
194154,45393336,954466304,50200576
195154,50267128,954466304,54329344
196154,50703128,954466304,56360960
197154,50590408,954466304,62652416
198154,56531456,954466304,59310080
199161,45055776,954466304,59703296
200180,75291824,954466304,76939264
201187,81585704,954466304,83361792
202188,49356264,954466304,91095040
203188,58694960,954466304,86310912
204188,78485176,954466304,80936960
205188,47780544,954466304,77594624
206188,64439944,954466304,72744960
207188,59237392,954466304,68943872
208188,56112992,954466304,65339392
209188,53051248,954466304,61997056
210188,56474152,954466304,58916864
211188,48347216,954466304,59113472
212188,55156896,954466304,56426496
213188,52583344,954466304,58982400
214188,50539456,954466304,67239936
215188,57928320,954466304,63438848
216189,58572208,954466304,60227584
217189,54498848,954466304,60555264
218189,46371408,954466304,57802752
219189,49826560,954466304,55246848
220189,46335024,954466304,53346304
221189,49164920,954466304,51904512
222189,44407536,954466304,55377920
223189,49768272,954466304,53346304
224189,44921520,954466304,51970048
225189,49408232,954466304,50528256
226189,52299568,954466304,53477376
227196,54106952,954466304,57671680
228215,72262152,954466304,83296256
229215,46528256,954466304,79495168
230215,70392480,954466304,74383360
231215,46469800,954466304,70975488
232215,55258528,954466304,66846720
233216,60273152,954466304,63111168
234216,57198496,954466304,60030976
235216,44343792,954466304,57540608
236216,45061792,954466304,55050240
237216,46566656,954466304,53018624
238216,54245512,954466304,56950784
239216,51608000,954466304,57016320
240216,46417704,954466304,54788096
241216,51657392,954466304,52822016
242216,48035304,954466304,51642368
243216,45559336,954466304,54722560
244216,51274176,954466304,52756480
245216,54397864,954466304,56885248
246216,45968888,954466304,57016320
247216,52699656,954466304,54722560
248216,48415944,954466304,52756480
249216,44995944,954466304,51576832
250216,46536736,954466304,50266112
251217,45019216,954466304,51707904
252217,45087752,954466304,50266112
253217,47645432,954466304,53936128
254217,49446736,954466304,52232192
255217,51045304,954466304,52232192
256217,49150472,954466304,50921472
257217,44077728,954466304,52297728
258217,44766848,954466304,50987008
259217,47101728,954466304,55902208
260217,50249352,954466304,53805056
261217,50665856,954466304,52297728
262217,52077496,954466304,56033280
263217,46998488,954466304,54067200
264217,49613344,954466304,52297728
265217,45339880,954466304,51118080
266217,52167848,954466304,53936128
267217,48608048,954466304,52363264
268218,52538984,954466304,54132736
269218,49476528,954466304,52494336
270218,46580360,954466304,51183616
271218,46098904,954466304,50921472
272218,46501696,954466304,55967744
273218,48660160,954466304,58392576
274218,49597240,954466304,58589184
275218,49575144,954466304,55967744
276218,44205632,954466304,54001664
277218,49124872,954466304,58195968
278218,46251312,954466304,55836672
279218,46854480,954466304,53739520
280218,45836528,954466304,52166656
281218,51510744,954466304,55836672
282218,44495952,954466304,53805056
283218,44878984,954466304,52297728
284218,44976600,954466304,50987008
285218,47978016,954466304,50200576
286219,49934432,954466304,56164352
287219,50545960,954466304,56098816
288219,47913136,954466304,54132736
289219,51245456,954466304,56098816
290219,48002368,954466304,54001664
291219,50117208,954466304,52363264
292219,47157648,954466304,58916864
293222,52883968,954466304,56492032
294222,47394248,954466304,54657024
295222,48891504,954466304,61734912
296222,55954856,954466304,58654720
297222,48137832,954466304,56295424
298222,49294712,954466304,54329344
299222,48216480,954466304,52690944
300224,48958032,954466304,54722560
301224,44003656,954466304,52887552
302225,47652000,954466304,52887552
303226,44841552,954466304,57409536
304227,47482536,954466304,55115776
305227,47163200,954466304,53280768
306227,44845536,954466304,52035584
307227,44407040,954466304,53739520
308227,44513728,954466304,52166656
309229,48503520,954466304,50855936
310229,53832568,954466304,55508992
311229,51116760,954466304,53542912
312229,46810512,954466304,52035584
313229,47349984,954466304,50724864
314229,48307776,954466304,53149696
315229,48852672,954466304,51838976
316229,49722520,954466304,53280768
317229,43919080,954466304,51904512
318229,50216208,954466304,51970048
319229,48499568,954466304,51970048
320229,48002064,954466304,50659328
321230,48516176,954466304,50200576
322230,44119976,954466304,50528256
323230,48555400,954466304,53608448
324230,46255240,954466304,52101120
325230,49279256,954466304,50790400
326230,44132288,954466304,53739520
327230,45461024,954466304,52232192
328231,49632368,954466304,50790400
329231,50259840,954466304,51707904
330231,50753440,954466304,52559872
331231,48152528,954466304,51249152
332231,49675344,954466304,54329344
333231,50685424,954466304,54657024
334231,49626384,954466304,60227584
335231,51794016,954466304,57344000
336231,50724424,954466304,54984704
337231,44277776,954466304,53149696
338232,46058520,954466304,51838976
339232,51880200,954466304,53084160
340232,47250048,954466304,53084160
341232,46839488,954466304,51773440
342232,49536576,954466304,55050240
343232,52012776,954466304,53018624
344232,47413992,954466304,53084160
345232,48091656,954466304,51773440
346232,49204544,954466304,51773440
347232,45482544,954466304,51707904
348232,47072680,954466304,51904512
349232,44159488,954466304,52822016
350232,47259776,954466304,51511296
351232,46469712,954466304,51445760
352232,44796752,954466304,51707904
353233,49054344,954466304,50200576
354233,48642440,954466304,51970048
355233,49505224,954466304,50659328
356234,44356120,954466304,52035584
357234,46882752,954466304,50724864
358234,47978040,954466304,50200576
359234,47191456,954466304,51576832
360234,47357744,954466304,51642368
361234,44491848,954466304,50266112
362234,48998928,954466304,50331648
363234,49862224,954466304,51576832
364234,48586920,954466304,51314688
365234,46859648,954466304,50266112
366234,47124208,954466304,50790400
367234,51058168,954466304,52363264
368234,45897784,954466304,51052544
369234,48008272,954466304,53149696
370234,45736896,954466304,51838976
371234,46179072,954466304,51773440
372234,48641384,954466304,51511296
373236,46394368,954466304,53018624
374236,47281528,954466304,51773440
375239,47361048,954466304,53280768
376239,46637432,954466304,53542912
377239,52694784,954466304,57540608
378239,47084832,954466304,55181312
379239,45460608,954466304,53280768
380239,48024896,954466304,53542912
381239,60301888,954466304,65470464
382239,53629752,954466304,68222976
383239,49787344,954466304,64749568
384239,59510296,954466304,61210624
385239,46846400,954466304,58589184
386239,50682192,954466304,55967744
387239,48394512,954466304,54001664
388239,47339672,954466304,52428800
389239,47425264,954466304,51118080
390239,46609256,954466304,50987008
391240,51374952,954466304,53870592
392240,45111088,954466304,54001664
393240,56264472,954466304,58392576
394240,48095624,954466304,56098816
395240,47626856,954466304,54001664
396240,51574664,954466304,55967744
397240,52788448,954466304,56033280
398240,48693816,954466304,53936128
399240,50895232,954466304,65798144
400240,51209320,954466304,62455808
401240,46768136,954466304,59572224
402240,45030416,954466304,56885248
403240,50985392,954466304,54525952
404240,48087464,954466304,52756480
405240,47317152,954466304,51576832
406240,47892792,954466304,56950784
407240,45726592,954466304,60424192
408241,59977320,954466304,66125824
409241,46733208,954466304,63045632
410241,44128616,954466304,59965440
411241,47757368,954466304,57147392
412241,49856800,954466304,54919168
413241,45475800,954466304,53084160
414241,49261856,954466304,51838976
415241,48480832,954466304,51904512
416241,51105248,954466304,53346304
417241,48204984,954466304,53346304
418241,44184792,954466304,55246848
419241,51562008,954466304,53280768
420241,49015080,954466304,51904512
421241,49139288,954466304,53477376
422241,50188080,954466304,52101120
423241,45810032,954466304,52101120
424241,50328328,954466304,55705600
425241,45732176,954466304,53739520
426242,50450392,954466304,52232192
427242,44570432,954466304,62717952
428242,53312120,954466304,63176704
429242,53808888,954466304,60030976
430242,46363368,954466304,57540608
431242,50342144,954466304,55050240
432242,49666392,954466304,54984704
433242,47102944,954466304,53149696
434242,50684536,954466304,51838976
435242,47109576,954466304,51773440
436242,50382384,954466304,55443456
437242,50367576,954466304,53477376
438242,48372624,954466304,53608448
439242,52209920,954466304,53608448
440242,45534256,954466304,52166656
441242,52126832,954466304,58261504
442242,44536392,954466304,62717952
443243,69204480,954466304,75825152
444243,52004024,954466304,72155136
445243,45171616,954466304,68419584
446245,61419912,954466304,64421888
447245,52654152,954466304,61276160
448245,54151736,954466304,58458112
449245,44509272,954466304,56164352
450245,52225144,954466304,54001664
451245,46890200,954466304,54001664
452245,45730624,954466304,52363264
453246,55444280,954466304,58392576
454246,49818608,954466304,66453504
455246,55052336,954466304,62980096
456246,54391584,954466304,59965440
457246,45550832,954466304,57344000
458246,48649384,954466304,54984704
459246,45769576,954466304,53149696
460246,44119928,954466304,51970048
461247,45372584,954466304,60948480
462247,55515752,954466304,57868288
463247,52635296,954466304,55574528
464247,45009096,954466304,53673984
465247,47363640,954466304,52232192
466247,47701128,954466304,50921472
467247,49850640,954466304,52232192
468247,45931112,954466304,51052544
469247,44690328,954466304,55967744
470247,51319888,954466304,53805056
471247,47990544,954466304,52297728
472247,44832808,954466304,51118080
473247,45671424,954466304,54067200
474247,44439496,954466304,52428800
475247,48901072,954466304,52559872
476247,43966656,954466304,51380224
477247,50159616,954466304,56229888
478248,49983536,954466304,54198272
479248,49501208,954466304,52494336
480248,48354560,954466304,51183616
481248,49654696,954466304,52559872
482248,45213168,954466304,51380224
483248,45882752,954466304,50266112
484248,52371456,954466304,54591488
485248,45043384,954466304,57016320
486248,52371416,954466304,54591488
487248,50504832,954466304,52822016
488248,47356000,954466304,52887552
489248,44974056,954466304,54591488
490248,50384256,954466304,52690944
491248,48588688,954466304,51511296
492248,47117896,954466304,51445760
493248,48791056,954466304,52625408
494248,45669624,954466304,54329344
495248,48415808,954466304,52559872
496249,49962880,954466304,52756480
497249,46460376,954466304,54984704
498249,51784848,954466304,54591488
499249,45384448,954466304,57868288
500249,51344480,954466304,55312384
501249,49976592,954466304,53411840
502249,48657264,954466304,59965440
503249,56313008,954466304,64421888
504249,47793416,954466304,61407232
505249,48110408,954466304,58392576
506249,49153328,954466304,55967744
507249,44861504,954466304,53936128
508249,50269160,954466304,52363264
509249,47510440,954466304,51052544
510249,48649808,954466304,55836672
511249,45101880,954466304,53936128
512249,49257464,954466304,52232192
513250,45967088,954466304,52494336
514250,44917232,954466304,51183616
515250,52996568,954466304,54198272
516250,48671432,954466304,56492032
517250,49351976,954466304,54394880
518250,49255720,954466304,52625408
519251,48838560,954466304,51314688
520251,49100768,954466304,52625408
521251,48318912,954466304,51314688
522251,44967680,954466304,54329344
523251,52090472,954466304,54722560
524251,49599240,954466304,52887552
525251,49592144,954466304,56950784
526251,45814968,954466304,54788096
527251,51616368,954466304,52822016
528251,48566104,954466304,51642368
529251,45882960,954466304,50266112
530251,45924888,954466304,50200576
531252,49921640,954466304,52101120
532252,47233800,954466304,50790400
533252,46089608,954466304,51642368
534252,46066248,954466304,51445760
535252,45386848,954466304,50200576
536252,49854032,954466304,51576832
537252,46678360,954466304,50200576
538252,50137944,954466304,51314688
539252,47431680,954466304,50200576
540252,44641680,954466304,53542912
